distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
232,3,1,0.0,73,630.0,2025-03-15 00:56:29.563358+00:00
203,3,1,36.0,76,659.0,2025-03-15 01:14:25.039328+00:00
231,3,1818,51.0,73,631.0,2025-03-15 01:44:41.942693+00:00
229,3,1,0.0,73,633.0,2025-03-15 02:58:12.867438+00:00
229,3,19,0.0,74,663.0,2025-03-15 02:59:39.275159+00:00
229,3,57,0.0,74,663.0,2025-03-15 03:00:14.305965+00:00
229,3,92,0.0,74,663.0,2025-03-15 03:00:49.393494+00:00
229,3,129,0.0,74,663.0,2025-03-15 03:01:28.652261+00:00
229,3,167,0.0,74,663.0,2025-03-15 03:02:05.623946+00:00
229,3,205,0.0,74,663.0,2025-03-15 03:02:43.496564+00:00
229,3,243,0.0,74,663.0,2025-03-15 03:03:20.015151+00:00
229,3,278,0.0,74,663.0,2025-03-15 03:03:56.514500+00:00
229,3,316,0.0,74,663.0,2025-03-15 03:04:32.757619+00:00
229,3,351,0.0,74,663.0,2025-03-15 03:05:10.001759+00:00
22,3,267025,22.0,97,840.0,2025-03-13 04:21:47.341276+00:00
46,3,274344,0.0,94,816.0,2025-03-13 06:23:48.284083+00:00
0,3,278901,0.0,100,863.0,2025-03-13 07:39:46.843201+00:00
0,3,282541,0.0,100,863.0,2025-03-13 08:40:26.743210+00:00
0,3,286182,0.0,100,863.0,2025-03-13 09:41:06.615629+00:00
46,3,289820,0.0,94,816.0,2025-03-13 10:41:44.298224+00:00
0,3,293461,0.0,100,863.0,2025-03-13 11:42:25.090537+00:00
46,3,298019,23.0,94,816.0,2025-03-13 12:58:23.617428+00:00
23,3,301663,0.0,97,839.0,2025-03-13 13:59:08.360433+00:00
0,3,306222,0.0,100,863.0,2025-03-13 15:15:06.193402+00:00
46,3,309862,0.0,94,816.0,2025-03-13 16:15:45.991297+00:00
0,3,313499,0.0,100,863.0,2025-03-13 17:16:23.676098+00:00
0,3,317140,0.0,100,863.0,2025-03-13 18:17:04.114076+00:00
46,3,320776,0.0,94,816.0,2025-03-13 19:17:40.211131+00:00
23,3,324418,0.0,97,839.0,2025-03-13 20:18:22.218468+00:00
70,3,328055,70.0,91,792.0,2025-03-13 21:18:58.952929+00:00
0,3,331697,0.0,100,863.0,2025-03-13 22:19:41.083042+00:00
